名稱,代號,2024配息率,2023配息率,2022配息率,2021配息率,平均配息率,23Q1營收,23Q1EPS,23Q2營收,23Q2EPS,23Q3營收,23Q3EPS,23Q4營收,23Q4EPS,2023EPS,股價,24Q1營收,24Q1EPS,24Q2營收,24Q2EPS,24Q3營收,24Q3EPS,10月營收,11月營收,12月營收
台泥,"=""1101""",94.3,67.5,30.3,78.0,67.525,263,0.2,277,0.45,270,0.17,283,0.25,1.06,31.8,255,0.26,390,0.25,411,0.42,162.72,165.03,165.43
亞泥,"=""1102""",0.0,64.1,49.9,73.7,46.925,192,0.81,211,1.26,199,0.82,199,0.4,3.28,41.1,165,0.89,190,1.27,200,0.57,65.73,71.94,70.85
嘉泥,"=""1103""",417.0,-107.0,63.7,50.9,106.15,6.51,0.03,7.25,0.0,7.39,0.18,7.96,-0.08,0.12,17.2,6.99,-0.06,7.38,0.11,7.76,0.74,2.28,2.59,2.84
環泥,"=""1104""",57.5,48.1,60.2,57.6,55.85,18.4,0.41,19.2,0.62,18.7,1.42,21.7,0.68,3.13,28.45,19.1,0.37,20.9,0.56,18.7,0.69,6.42,6.83,7.55
幸福,"=""1108""",80.5,46.9,81.3,95.2,75.975,10.9,0.31,13.2,0.37,12.8,0.47,14,0.14,1.3,14.4,11.9,0.3,12.2,0.33,11.4,0.27,3.98,4.11,5.04
信大,"=""1109""",59.7,68.4,59.7,51.0,59.7,13.3,0.42,17,0.6,16,0.34,16.3,0.65,2.01,17.45,11,0.35,13.8,0.55,10.6,0.18,3.49,3.78,3.97
東泥,"=""1110""",76.9,38.5,80.0,250.0,111.35,5.28,0.06,6.15,0.12,4.98,0.1,6.32,-0.01,0.26,19.9,5.77,0.05,6.05,0.1,8.91,0.35,2.5,2.9,2.6
味全,"=""1201""",50.2,50.6,50.1,50.0,50.225,47.9,0.25,52.4,0.07,59.6,0.13,54.9,0.08,0.53,17.7,53.3,0.26,59.1,0.2,65.1,0.28,20.46,18.31,18.5
味王,"=""1203""",61.1,41.8,58.5,60.8,55.55,15.8,0.33,15.4,0.38,16.2,0.64,16.7,0.45,1.8,37.15,15.6,0.64,15.2,0.5,14.4,0.44,5.37,5.74,6.03
大成,"=""1210""",46.2,57.9,64.7,67.7,59.125,271,0.9,276,1.27,283,1.51,281,1.13,4.81,51.8,252,1.0,250,0.94,259,1.0,86.04,89.69,91.66
大飲,"=""1213""",0.0,0.0,0.0,0.0,0.0,0.88,-0.34,0.27,-0.72,-0.07,-0.66,0.12,-0.74,-2.45,15.1,0.33,-0.43,0.42,0.0,0.64,-0.32,0.19,0.17,0.17
卜蜂,"=""1215""",71.4,66.3,59.3,72.8,67.45,72.3,1.43,74.1,2.04,73.1,2.2,72.1,2.02,7.7,92.9,69.1,1.25,67,1.28,70.1,1.74,24.58,24.35,24.33
統一,"=""1216""",92.9,104.0,77.1,71.2,86.3,"1,314",0.88,"1,374",1.09,"1,650",0.98,"1,473",0.28,3.23,78.4,"1,588",0.97,"1,621",1.04,"1,789",1.07,546.49,517.42,514.39
愛之味,"=""1217""",56.1,71.4,73.2,0.0,50.175,11.7,0.13,11.6,0.04,16.3,0.18,9.43,0.05,0.41,11.6,11.6,0.16,12.0,0.24,17.0,0.23,3.6,3.62,3.33
泰山,"=""1218""",0.0,5.34,56.2,80.0,35.385000000000005,26.5,-0.14,26.2,-0.79,33.0,0.36,26.5,0.41,-0.17,19.25,27.6,0.32,25.6,0.42,29.7,0.55,8.33,8.41,7.29
福壽,"=""1219""",59.2,134.0,53.7,52.4,74.82499999999999,42.5,0.19,40.7,0.23,40.7,0.29,39.3,0.24,0.94,14.6,35.6,0.15,34.7,0.18,35.2,0.04,12.33,12.71,12.68
台榮,"=""1220""",52.6,76.9,100.0,98.0,81.875,6.56,-0.04,8.32,0.2,8.65,0.23,9.41,0.37,0.76,16.75,7.62,0.29,8.13,0.43,8.34,0.34,3.56,3.97,3.21
福懋油,"=""1225""",87.5,88.8,77.3,81.4,83.75,38,0.28,34.8,0.18,36.3,0.56,36.3,0.58,1.6,45.75,33.4,0.31,30.4,0.59,31.7,0.3,10.8,11.52,11.88
佳格,"=""1227""",92.6,96.3,70.4,70.6,82.475,58.8,0.29,63.2,0.2,79.3,0.55,76.7,0.31,1.35,35.0,68,0.52,63.6,0.32,76.3,0.54,20.8,27.6,33.46
聯華,"=""1229""",0.0,55.9,64.0,37.0,39.225,28.7,0.74,36.4,0.78,27.8,0.68,43.1,0.49,2.64,49.3,30.5,0.7,39.4,0.79,27.8,0.44,8.33,11.1,12.29
聯華食,"=""1231""",40.7,41.1,37.2,42.8,40.45,27.7,1.04,24.2,0.39,28,0.61,28.6,1.92,3.93,145.5,29.1,1.18,26.5,0.88,31.8,0.85,10.48,10.17,13.97
大統益,"=""1232""",87.6,78.3,77.3,74.3,79.375,62.1,2.17,56.6,1.62,58.4,1.69,58.5,2.06,7.53,145.0,56.3,1.76,53.4,2.65,54.1,1.61,18.59,18.81,19.5
天仁,"=""1233""",84.9,149.0,167.0,127.0,131.975,5.18,0.35,5.04,0.33,5.37,0.22,5.51,0.16,1.06,29.85,5.72,0.37,5.24,0.23,5.38,0.13,1.61,1.93,2.12
黑松,"=""1234""",80.5,81.4,85.9,81.1,82.225,25.4,0.47,23,0.51,31.2,0.94,26.1,0.44,2.36,40.8,26.4,0.44,22.8,0.62,30.6,0.91,7.5,8.19,7.08
興泰,"=""1235""",45.5,76.3,123.0,231.0,118.95,0.06,1.08,0.09,-0.78,0.17,1.62,0.43,0.3,1.1,77.7,0.17,0.41,0.24,0.6,0.33,0.69,0.14,0.13,0.12
宏亞,"=""1236""",406.0,25.6,-200.0,,57.900000000000006,4.9,0.03,3.91,-0.16,5.41,0.28,5.08,0.02,0.16,22.65,5.74,0.09,3.43,-0.3,5.04,-0.01,1.34,1.58,2.65
茂生農經,"=""1240""",53.4,714.0,56.0,45.0,217.1,7.52,0.38,6.72,1.02,7.02,1.31,7.85,1.44,4.12,51.7,7.15,0.98,7.17,1.03,7.01,1.16,2.43,2.37,2.6
鮮活果汁-KY,"=""1256""",53.2,54.5,62.1,52.2,55.5,8.25,1.34,15,6.09,15.8,5.33,7.27,-0.36,12.41,129.0,8.7,1.34,12,2.72,13,4.15,2.06,1.93,2.34
安心,"=""1259""",34.8,64.7,74.9,60.3,58.675,14.3,1.04,15,1.7,16,1.83,14.7,0.59,5.17,63.0,14.9,1.01,15.2,1.07,15.6,0.13,4.96,4.95,4.9
德麥,"=""1264""",76.8,70.2,74.1,75.0,74.025,13.6,4.45,13.8,4.56,15.2,4.8,15.8,4.42,18.24,317.0,15.6,5.08,15.8,4.94,17.8,5.65,5.19,5.98,7.5
漢來美食,"=""1268""",92.0,97.4,149.0,93.2,107.9,13,3.01,11.1,1.79,12,2.01,13.1,0.8,7.61,152.0,16.8,4.73,13.2,1.54,14.3,1.47,4.42,4.88,5.74
漢田生技,"=""1294""",13.1,32.7,0.0,14.0,14.95,0.8,0.48,1.67,2.17,1.77,1.79,2,2.7,7.66,93.0,1.8,1.84,2.17,1.83,1.98,1.69,0.42,0.54,0.58
台塑,"=""1301""",87.0,73.9,73.1,76.2,77.55,522,0.37,484,0.19,507,1.05,477,-0.45,1.15,36.0,481,0.03,511,0.21,505,-0.49,157.39,181.47,164.45
南亞,"=""1303""",87.5,74.1,73.2,74.1,77.225,658,0.11,637,0.12,673,0.55,630,0.02,0.8,32.05,586,0.16,664,0.22,664,0.01,227.58,219.65,234.32
台聚,"=""1304""",-184.0,48.3,45.5,44.4,-11.449999999999998,132.0,-0.09,128.0,0.03,135.0,0.21,128.0,-0.34,-0.19,11.3,120.0,-0.37,135.0,-0.23,129.0,-0.62,39.58,44.96,41.73
華夏,"=""1305""",59.3,-46.9,58.8,61.0,33.05,37.8,0.4,33.4,0.0,33.7,0.25,32.2,-0.07,0.59,12.3,29.0,-0.05,30.8,0.16,25.6,-0.71,8.27,9.7,7.47
三芳,"=""1307""",78.5,67.8,172.0,90.9,102.3,26.1,0.4,22.9,0.48,27.7,0.79,24.2,0.25,1.91,37.35,26,1.04,25,0.75,31.1,0.97,8.56,9.03,8.08
亞聚,"=""1308""",225.0,49.2,57.5,63.2,98.725,15.7,-0.04,16.6,0.22,18.1,0.28,16.8,-0.26,0.2,14.3,15.6,-0.32,14.9,-0.12,14.2,-0.36,4.66,5.33,5.54
台達化,"=""1309""",-43.5,48.1,40.9,35.8,20.325,35.8,-0.18,35.9,-0.04,39.8,-0.18,40.6,-0.29,-0.69,13.3,37.9,-0.26,49.4,-0.1,51.9,-0.25,14.83,16.64,15.56
台苯,"=""1310""",0.0,-28.2,75.0,90.9,34.425,23.2,0.0,23.2,-0.57,23.1,0.01,26.0,-0.31,-0.88,10.0,22.3,-0.06,34.3,0.01,30.3,-0.34,7.7,9.63,9.97
國喬,"=""1312""",0.0,-89.3,30.9,2.21,-14.0475,42.2,-0.16,38.9,-0.76,38.8,-0.23,37.4,-0.45,-1.59,11.1,32.6,-0.44,50.5,-0.23,43.2,-0.29,10.46,13.18,14.31
聯成,"=""1313""",-95.2,-21.3,60.2,61.7,1.3500000000000014,159.0,0.02,176.0,-0.49,199.0,0.39,199.0,-0.14,-0.21,8.84,178.0,-0.59,204.0,-0.43,170.0,-0.55,53.32,62.39,64.39
中石化,"=""1314""",0.0,0.0,37.7,0.0,9.425,51.5,-0.27,69.6,-0.21,69.3,-0.15,73.7,0.35,-0.28,7.33,81.9,0.06,84.9,0.06,73.3,-0.15,21.39,17.74,22.08
達新,"=""1315""",262.0,73.2,131.0,-959.0,-123.2,5.41,0.33,6.27,2.46,5.25,1.37,4.64,-0.5,3.66,67.7,4.56,0.42,5.59,0.62,5.11,0.46,1.75,2.5,1.97
上曜,"=""1316""",0.0,966.0,0.0,0.0,241.5,3.12,-0.21,1.63,-0.13,1.8,-0.15,1.91,-0.21,-0.68,13.65,2.29,-0.27,3.73,0.05,3.63,-0.11,1.64,1.65,2.05
東陽,"=""1319""",78.4,68.7,73.3,57.6,69.50000000000001,56,0.83,55.5,1.28,61.5,1.65,65.6,1.35,5.1,108.0,61.7,1.98,61.9,1.76,63.2,1.49,22.61,24.12,22.48
大洋,"=""1321""",45.5,0.0,48.3,30.9,31.175,13.3,0.59,11.7,0.09,11.1,0.22,13.1,-0.02,0.88,35.6,11.1,0.53,13.3,0.32,10.2,-0.11,4.31,4.11,3.73
永裕,"=""1323""",109.0,53.7,52.6,50.0,66.32499999999999,8,0.3,8.47,0.22,8.57,0.19,8.05,0.21,0.92,24.9,7.64,0.26,7.92,0.29,5.68,1.98,1.9,1.58,1.76
地球,"=""1324""",37.7,333.0,2000.0,136.0,626.675,2.31,0.09,2.3,0.12,2.37,0.24,2.23,0.08,0.53,12.4,1.99,0.0,2.06,0.02,1.82,-0.03,0.7,0.67,0.71
恆大,"=""1325""",286.0,263.0,61.3,51.8,165.52499999999998,1.1,-0.02,1.03,0.23,0.97,0.34,0.96,-0.34,0.21,33.0,0.96,0.16,0.77,-0.07,0.71,-0.22,0.25,0.25,0.22
台化,"=""1326""",85.6,75.4,73.2,74.9,77.275,830,-0.13,752,0.29,868,1.28,876,0.02,1.46,27.8,839,0.26,965,0.32,869,-0.33,267.31,272.54,273.07
台翰,"=""1336""",29.5,20.0,40.0,60.5,37.5,5.72,0.2,5.72,0.34,6.18,0.5,5.54,0.35,1.39,23.35,5.47,0.43,6.38,0.54,6.77,0.56,2.53,2.36,2.11
再生-KY,"=""1337""",0.0,0.0,0.0,0.0,0.0,1.47,-0.33,1.89,-0.35,2.05,-0.45,2.32,-0.4,-1.53,6.11,2.58,-0.36,1.78,-0.34,1.81,-0.35,0.55,0.64,0.8
廣華-KY,"=""1338""",-25.5,123.0,61.9,99.7,64.775,14.3,-0.57,13.2,-1.13,14.4,0.21,15.7,-0.47,-1.96,27.5,11.6,-0.3,13.3,0.1,11.8,-0.35,4.4,4.54,5.03
昭輝,"=""1339""",51.0,54.4,109.0,126.0,85.1,4.73,0.87,4.86,1.65,5.47,2.03,5.46,1.33,5.88,55.3,5.12,1.8,4.42,1.23,4.76,1.05,1.43,1.78,1.81
勝悅-KY,"=""1340""",0.0,0.0,0.0,0.0,0.0,1.13,-0.55,1.66,-0.64,1.46,-0.68,1.38,-3.76,-5.64,8.44,0.76,-0.66,1.34,-0.77,0.78,-0.89,0.29,0.3,0.29
富林-KY,"=""1341""",0.0,56.0,86.7,95.4,59.525,6.3,1.37,6.06,1.15,6.44,0.95,6.37,1.02,4.48,68.4,6.06,1.46,7.05,1.2,6.88,1.04,2.72,2.53,2.66
八貫,"=""1342""",66.5,73.1,76.5,79.4,73.875,6.37,1.49,6.07,2.01,6.64,2.19,6.56,1.86,7.52,105.5,6.13,1.75,6.2,1.77,6,1.46,1.76,2.1,2.81
遠東新,"=""1402""",82.3,82.8,77.3,83.3,81.425,615,0.29,633,0.45,654,0.4,670,0.5,1.64,30.85,654,0.32,675,0.69,673,0.4,232.51,228.65,250.21
新纖,"=""1409""",117.0,57.1,58.1,61.5,73.425,90.2,0.02,93.2,0.13,104.0,0.26,98.8,0.06,0.47,15.15,105.0,0.22,113.0,0.27,113.0,0.34,35.17,38.76,46.75
南染,"=""1410""",125.0,88.9,101.0,94.7,102.4,0.54,0.09,0.57,0.1,0.55,0.12,0.56,-0.09,0.24,35.15,0.55,0.22,0.54,0.1,0.66,0.1,0.18,0.21,0.2
宏洲,"=""1413""",0.0,0.0,0.0,0.0,0.0,4.68,-0.26,4.48,-0.26,5.34,-0.3,5.45,-0.18,-1.01,11.2,6.23,-0.11,4.87,-0.11,6.37,0.03,1.81,1.83,1.95
東和,"=""1414""",167.0,68.1,82.8,91.1,102.25,1.39,-0.04,1.37,0.08,1.45,0.07,1.45,0.05,0.15,24.35,1.4,0.08,1.43,0.08,1.22,0.1,0.39,0.38,0.41
廣豐,"=""1416""",98.0,98.0,114.0,-27.0,70.75,0.79,-0.01,0.63,0.01,0.7,0.64,0.84,-0.12,0.51,12.25,0.79,0.15,0.76,0.28,0.84,0.23,0.27,0.32,0.36
嘉裕,"=""1417""",-54.1,66.1,62.5,-16.1,14.6,4.35,0.07,3.48,0.03,3.09,-0.02,4.25,-0.45,-0.37,8.81,2.38,-0.02,1.41,-0.16,1.1,-0.16,0.3,0.32,0.53
東華,"=""1418""",0.0,0.0,0.0,0.0,0.0,0.1,-0.42,0.03,-0.55,0.04,-0.4,0.04,2.11,0.74,27.45,0.04,-0.65,0.02,-0.45,0.01,-0.47,0.01,0.01,0.01
新紡,"=""1419""",55.3,21.7,66.2,82.0,56.3,8.29,0.3,6.83,0.56,8.17,0.97,10.5,0.34,2.17,42.5,8.62,0.3,8.88,0.71,11.4,0.8,3.75,3.87,5.67
利華,"=""1423""",105.0,37.7,67.6,70.3,70.14999999999999,0.37,0.21,0.26,-0.01,0.29,0.45,0.33,-0.09,0.57,37.8,0.4,0.02,0.18,0.26,0.3,0.32,0.05,0.06,0.05
大魯閣,"=""1432""",0.0,0.0,0.0,,0.0,3.11,0.17,3.24,0.11,3.8,0.48,3.1,-0.08,0.67,20.85,3.26,0.0,3.18,-0.11,3.34,-0.07,0.95,0.94,1.14
福懋,"=""1434""",192.0,74.3,78.7,80.0,106.25,76.5,0.05,72.3,0.28,71.4,0.03,64.8,-0.09,0.26,18.8,71.7,0.11,76.2,0.14,70.9,0.57,22.6,21.48,24.22
中福,"=""1435""",0.0,0.0,0.0,0.0,0.0,0.02,-0.02,0.02,-0.14,0.02,-0.08,0.02,-0.06,-0.3,35.0,0.03,-0.03,0.03,-0.05,0.03,-0.09,0.01,0.0,0.0
華友聯,"=""1436""",58.1,78.6,81.8,106.0,81.125,0.23,-0.4,0.77,-0.13,1.97,0.26,13.3,9.96,9.69,117.5,0.2,-0.36,20.2,5.74,40.8,12.45,5.44,1.67,1.19
